#Powered_by_ParaTranz;;;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x
String_FR_GetIlElle_male;;;;;;;;;;;;;x
String_FR_GetIlElle_female;;;;;;;;;;;;;x
String_FR_GetIlElleCap_male;;;;;;;;;;;;;x
String_FR_GetIlElleCap_female;;;;;;;;;;;;;x
String_FR_GetIlElleOpp_male;;;;;;;;;;;;;x
String_FR_GetIlElleOpp_female;;;;;;;;;;;;;x
String_FR_GetIlElleCapOpp_male;;;;;;;;;;;;;x
String_FR_GetIlElleCapOpp_female;;;;;;;;;;;;;x
String_FR_GetLeLa_male;;;;;;;;;;;;;x
String_FR_GetLeLa_female;;;;;;;;;;;;;x
String_FR_GetLeLaCap_male;;;;;;;;;;;;;x
String_FR_GetLeLaCap_female;;;;;;;;;;;;;x
String_FR_GetLeLaOpp_male;;;;;;;;;;;;;x
String_FR_GetLeLaOpp_female;;;;;;;;;;;;;x
String_FR_GetLeLaCapOpp_male;;;;;;;;;;;;;x
String_FR_GetLeLaCapOpp_female;;;;;;;;;;;;;x
String_FR_GetLuiElle_male;;;;;;;;;;;;;x
String_FR_GetLuiElle_female;;;;;;;;;;;;;x
String_FR_GetLuiElleCap_male;;;;;;;;;;;;;x
String_FR_GetLuiElleCap_female;;;;;;;;;;;;;x
String_FR_GetLuiElleOpp_male;;;;;;;;;;;;;x
String_FR_GetLuiElleOpp_female;;;;;;;;;;;;;x
String_FR_GetCeluiCelle_male;;;;;;;;;;;;;x
String_FR_GetCeluiCelle_female;;;;;;;;;;;;;x
String_FR_GetCeluiCelleCap_male;;;;;;;;;;;;;x
String_FR_GetCeluiCelleCap_female;;;;;;;;;;;;;x
String_FR_GetOnA_male;;;;;;;;;;;;;x
String_FR_GetOnA_female;;;;;;;;;;;;;x
String_FR_GetOnAOpp_male;;;;;;;;;;;;;x
String_FR_GetOnAOpp_female;;;;;;;;;;;;;x
String_FR_GetErEre_male;;;;;;;;;;;;;x
String_FR_GetErEre_female;;;;;;;;;;;;;x
String_FR_GetErEreOpp_male;;;;;;;;;;;;;x
String_FR_GetErEreOpp_female;;;;;;;;;;;;;x
String_FR_GetEEtte_male;;;;;;;;;;;;;x
String_FR_GetEEtte_female;;;;;;;;;;;;;x
String_FR_GetEtEtte_male;;;;;;;;;;;;;x
String_FR_GetEtEtte_female;;;;;;;;;;;;;x
String_FR_GetXSe_male;;;;;;;;;;;;;x
String_FR_GetXSe_female;;;;;;;;;;;;;x
String_FR_GetLLle_male;;;;;;;;;;;;;x
String_FR_GetLLle_female;;;;;;;;;;;;;x
String_FR_GetEurRice_male;;;;;;;;;;;;;x
String_FR_GetEurRice_female;;;;;;;;;;;;;x
String_FR_GetEurRiceOpp_male;;;;;;;;;;;;;x
String_FR_GetEurRiceOpp_female;;;;;;;;;;;;;x
String_FR_GetXCe_male;;;;;;;;;;;;;x
