### ParaTranz ###
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
W_L_450510;;;;;;;;;;;;;x
W_L_200540;;;;;;;;;;;;;x
W_L_200607;;;;;;;;;;;;;x
W_L_200606;;;;;;;;;;;;;x
W_L_200600;;;;;;;;;;;;;x
W_L_200507;;;;;;;;;;;;;x
W_L_200523;;;;;;;;;;;;;x
W_L_200528;;;;;;;;;;;;;x
W_L_202513;;;;;;;;;;;;;x
W_L_200525;;;;;;;;;;;;;x
W_L_33338;;;;;;;;;;;;;x
W_L_30605;;;;;;;;;;;;;x
W_L_452505;;;;;;;;;;;;;x
W_L_450506;;;;;;;;;;;;;x
W_L_450502;;;;;;;;;;;;;x
W_L_450607;;;;;;;;;;;;;x
W_L_450504;;;;;;;;;;;;;x
W_L_450501;;;;;;;;;;;;;x
W_L_450500;;;;;;;;;;;;;x
W_L_455942;;;;;;;;;;;;;x
W_L_455940;;;;;;;;;;;;;x
W_L_100522;;;;;;;;;;;;;x
W_L_100525;;;;;;;;;;;;;x
W_L_100523;;;;;;;;;;;;;x
W_L_100526;;;;;;;;;;;;;x
W_L_100524;;;;;;;;;;;;;x
W_L_100550;;;;;;;;;;;;;x
W_L_100551;;;;;;;;;;;;;x
W_L_100552;;;;;;;;;;;;;x
W_L_101531;;;;;;;;;;;;;x
W_L_200490;;;;;;;;;;;;;x
W_L_100553;;;;;;;;;;;;;x
W_L_200602;;;;;;;;;;;;;x
W_L_200608;;;;;;;;;;;;;x
W_L_200500;;;;;;;;;;;;;x
W_L_200520;;;;;;;;;;;;;x
W_L_200604;;;;;;;;;;;;;x
W_L_200504;;;;;;;;;;;;;x
W_L_200609;;;;;;;;;;;;;x
W_L_157200;;;;;;;;;;;;;x
W_L_131719;;;;;;;;;;;;;x
W_L_131720;;;;;;;;;;;;;x
W_L_131721;;;;;;;;;;;;;x
W_L_131722;;;;;;;;;;;;;x
W_L_131723;;;;;;;;;;;;;x
W_L_131725;;;;;;;;;;;;;x
