### ParaTranz ###
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
LEDGER_SORT_DELAYED;§Gクリックするとこの列を使ってソートします§W;;;;;;;;;;;;x
show_true_humility;本心からの謙虚さを示した;;;;;;;;;;;;x
shown_true_humility;我々の謙虚さを好ましく思っている;;;;;;;;;;;;x
talent_recognized;私の才能を認めている;;;;;;;;;;;;x
slothful_ruler;怠惰な当主;;;;;;;;;;;;x
nick_the_lisp_and_lame;舌もつれでびっこの;;;;;;;;;;;;x
ANY_WARD_STARTS;任意の被後見人;;;;;;;;;;;;x
TITLE_CANNOT_USURP_BEFORE;この称号は§Y$DATE$§!まで簒奪することはできません;;;;;;;;;;;;x
fair;端麗;;;;;;;;;;;;x
c_grassland_cheremisa_adj;ケルゼネツ;;;;;;;;;;;;x
c_mountain_cheremisa_adj;チェレミサ;;;;;;;;;;;;x
PROV589;ケルゼネツ;;;;;;;;;;;;x
PROV591;チェレミサ;;;;;;;;;;;;x
black_honor;忠誠の誓いを破棄する;;;;;;;;;;;;x
EVTOPTF40020;殺し屋の雇い主を暴露しよう！;;;;;;;;;;;;x
EVTTOOLTIP40026;が暗殺者の雇い主であることが明らかにされる。;;;;;;;;;;;;x
EVTDESC40026;我々が依頼した暗殺者は発見されただけでなく、我々が背後にいたことも漏らしてしまったようだ!現在、[From.GetBestName]が[Root.PrimaryTitle.GetFullName]で封臣たちとの封建的契約を破ってしまったことに対する証拠を取り上げているようだ。;;;;;;;;;;;;x
EVTOPTA40026;悪いニュースだ…;;;;;;;;;;;;x
deceitful_martial;表面的な「軍事」;;;;;;;;;;;;x
deceitful_stewardship;疑わしい「管理」;;;;;;;;;;;;x
deceitful_diplomacy;表面的な「外交」;;;;;;;;;;;;x
deceitful_learning;疑わしい「学識」;;;;;;;;;;;;x
EVTDESC3260;私は諸侯の中で別段武勇に優れているわけでもないし、騎士として振る舞うべき時、みっともない姿をさらすこともたまにある。だが、幸い私は人の操り方を心得ている…。;;;;;;;;;;;;x
EVTOPTA3260;口先でごまかすのだ…。;;;;;;;;;;;;x
EVTOPTB3260;[Root.job_marshal.GetTitledFirstName]に責任を押し付けます。;;;;;;;;;;;;x
EVTDESC3261;私は単純に、領地に関する日々の仕事の処理についていけないのだ。私は他者に頼りきりだが、彼らに対しては、私が彼らよりもきつい仕事をしているのだと思い込ませている。;;;;;;;;;;;;x
EVTOPTA3261;口先でごまかすのだ…。;;;;;;;;;;;;x
EVTOPTB3261;[Root.job_treasurer.GetTitledFirstName]にきつい仕事を任せます。;;;;;;;;;;;;x
EVTDESC3262;時々、私は外交の機微によって厄介な立場に置かれることがある。しかし、慎重な宮廷工作によって、まずい時は廷臣たちに責任を取らせてきた。;;;;;;;;;;;;x
EVTOPTA3262;どの道彼らは私の駒なのだ…。;;;;;;;;;;;;x
EVTOPTB3262;[Root.job_chancellor.GetTitledFirstName]に責任を押し付けます。;;;;;;;;;;;;x
EVTDESC3263;私には教養がない。議論の場では慎重に発言しなければ、このことが明るみに出てしまうだろう。;;;;;;;;;;;;x
EVTOPTA3263;口先でごまかすのだ…。;;;;;;;;;;;;x
EVTOPTB3263;[Root.job_spiritual.GetTitledFirstName]はそれでは不満です。;;;;;;;;;;;;x
EVTDESC73200; [Root.Liege.GetTitledFirstName]は悲しいことに[Root.job_marshal.GetTitledFirstName]に[Root.Liege.GetHerHis]の元帥として従事している。私のほうがもっと優秀でより優れた元帥になるのに!;;;;;;;;;;;;x
EVTOPTA73200;我が主君に嘆願しよう！;;;;;;;;;;;;x
EVTTOOLTIP73201;は嘆願を聞き届け、賢明な判断をしてくれるでしょう;;;;;;;;;;;;x
EVTDESC73201;[From.GetBestName]は [From.GetSheHe]こそが[Root.job_marshal.GetTitledFirstName]よりも優秀な元帥になる素質があり、[From.GetSheHe]が[Root.PrimaryTitle.GetFullName]の元帥としての役職を与えられるべきだと主張してきた。;;;;;;;;;;;;x
