#Powered_by_ParaTranz;;;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x
set_government_type;政体が§Y$GOVERNMENT$§!に変更されます\n;;;;;;;;;;;;x
feudal_government;封建制;;;;;;;;;;;;x
republic_government;共和制;;;;;;;;;;;;x
merchant_republic_government;商業共和制;;;;;;;;;;;;x
theocracy_government;神権制;;;;;;;;;;;;x
muslim_government;イクター制;;;;;;;;;;;;x
tribal_government;部族制;;;;;;;;;;;;x
RETCAP_FROM_GOVERNMENT;政治体制から：$AMOUNT$\n;;;;;;;;;;;;x
GOVERNMENT_CANNOT_CREATE_KINGDOMS;神権制、宗教騎士団、傭兵団は王国を設立することはできません！;;;;;;;;;;;;x
GOVERNMENT_CANNOT_USURP_KINGDOMS_AND_EMPIRES;商業共和国と都市貴族は王国や帝国を簒奪することはできない;;;;;;;;;;;;x
GAME_STATE_WAS_CORRUPTED;ゲームが破損しています。ゲームを再起動してください。;;;;;;;;;;;;x
TRIBAL_TAX;部族税;;;;;;;;;;;;x
GOVERNMENT_CANT_BUILD_HOLDINGS;§R$GOVERNMENT$の統治者は新たな地区を創ることはできません§!;;;;;;;;;;;;x
GOVERNMENT_NO_LIEGE_LEVY;独立した部族や遊牧民の支配者は、家臣の部族から召集軍を得ることはない;;;;;;;;;;;;x
PLAYERS_IN_UNIT;Player Characters in Unit;;;;;;;;;;;;x
PLAYERS_IN_ATTACKERS;Attacking Player Characters;;;;;;;;;;;;x
YOU_IN_ATTACKERS;貴方はこの戦いにおける攻撃側です。;;;;;;;;;;;;x
PLAYERS_IN_DEFENDERS;Defending Player Characters;;;;;;;;;;;;x
YOU_IN_DEFENDERS;貴方はこの戦いにおける守勢側です。;;;;;;;;;;;;x
destroy_title_interaction_LONG_DESC;この称号を廃止します。;;;;;;;;;;;;x
usurp_title_interaction_TITLE;称号簒奪;;;;;;;;;;;;x
usurp_title_interaction_LONG_DESC;この称号を簒奪します。;;;;;;;;;;;;x
create_title_interaction_LONG_DESC;この称号を創設します。;;;;;;;;;;;;x
make_primary_title_interaction_LONG_DESC;これを貴方の主要称号とします。;;;;;;;;;;;;x
make_capital_settlement_interaction_TITLE;遷都する;;;;;;;;;;;;x
make_capital_settlement_interaction_DESC;ここを首都にできます。;;;;;;;;;;;;x
make_capital_settlement_interaction_LONG_DESC;この地区を貴方の首都とします。;;;;;;;;;;;;x
WILL_CANCEL_OLD_PLOT;陰謀は同時に一つしかアクティブにできません。新しい陰謀を選ぶと現在選んでいるものはキャンセルされます。;;;;;;;;;;;;x
WILL_CANCEL_OLD_AMBITION;野心は同時に一つしかアクティブにできません。新しい野心を選ぶと現在選んでいるものはキャンセルされます。;;;;;;;;;;;;x
WILL_CANCEL_OLD_FOCUS;方針は同時に一つしかアクティブにできません。新しい方針を選ぶと現在選んでいるものはキャンセルされます。;;;;;;;;;;;;x
alert_available_targetted_decision_instant;§Y人物に対する特別なアクションが可能§!;;;;;;;;;;;;x
alert_available_targetted_decision_delayed;以下の人物に対する特別なアクションが利用できる:\n$LIST$;;;;;;;;;;;;x
